player,Consecutive Sand Saves-STREAK,Consecutive Sand Saves-CURRENT STREAK,Consecutive Sand Saves-ROUND,Consecutive Sand Saves-HOLE,Consecutive Sand Saves-YEAR/TOURN#,YTD Consecutive Cuts-NUMBER OF CUTS,Consecutive Cuts-TOTAL,Consecutive Cuts-START TOURNAMENT ID,Consecutive Par 5 Birdies-NUMBER OF HOLES,Consecutive Par 4 Birdies-NUMBER OF HOLES,Consecutive Par 3 Birdies-NUMBER OF HOLES,Consecutive Birdies Streak-NUMBER OF HOLES,Current Streak without a 3-Putt-VALUE,Consecutive Birdies/Eagles streak-NUMBER OF HOLES,Consecutive GIR-STREAK,Consecutive GIR-CURRENT STREAK,Consecutive GIR-ROUND,Consecutive GIR-HOLE,Consecutive GIR-YEAR/TOURN#,Consecutive Holes Below Par-NUMBER OF HOLES,Consecutive Fairways Hit-BEST STREAK,Consecutive Fairways Hit-CURRENT STREAK
Zac Blair,13,5,1,1,2020150,2,2,"2,020,240",5,4,3,3,15,1,27,3,1,14,2020190,3,13,1
Daniel Berger,9,1,4,6,2020150,7,8,"2,020,070",7,3,3,3,124,2,18,5,2,4,2020395,3,19,0
Collin Morikawa,9,2,3,2,2020150,12,23,"2,018,220",10,5,2,4,48,2,12,1,3,3,2020040,4,25,6
Gary Woodland,9,9,4,3,2020230,4,5,"2,020,180",9,3,3,4,110,2,15,5,3,14,2020060,4,17,2
Andrew Landry,8,0,4,17,2020200,2,3,"2,020,200",9,3,2,4,152,2,15,6,2,9,2020150,4,13,4
Jason Dufner,8,0,2,5,2020110,6,7,"2,020,160",4,4,2,3,103,1,15,1,2,14,2020150,3,11,1
Matt Jones,8,0,4,18,2020060,3,4,"2,020,230",9,3,3,5,14,2,15,5,2,2,2020040,5,8,1
Peter Uihlein,8,0,2,14,2020050,2,2,"2,020,210",5,2,2,4,30,2,10,6,2,12,2020110,4,8,0
Fabián Gómez,8,0,4,18,2020030,2,2,"2,020,210",8,2,3,3,34,2,20,1,1,16,2020020,3,12,3
Matthew Fitzpatrick,7,0,3,15,2020220,7,20,"2,019,190",7,3,3,4,83,3,12,1,1,17,2020220,4,8,6
Brandon Hagy,7,0,2,16,2020030,2,2,"2,020,210",7,3,2,4,25,1,13,3,2,11,2020210,4,11,0
Xander Schauffele,7,4,1,12,2020180,5,6,"2,020,180",6,4,2,4,19,2,17,3,3,11,2020220,4,13,0
Rory Sabbatini,7,7,1,16,2020395,4,5,"2,020,200",5,2,2,3,131,1,21,0,4,13,2020070,3,13,1
Harry Higgs,7,0,3,11,2020160,6,7,"2,020,170",4,3,3,4,162,4,18,3,3,16,2020170,4,20,2
Adam Hadwin,6,2,3,4,2020110,2,3,"2,020,200",4,4,2,4,65,2,27,1,1,14,2020040,4,17,2
Justin Thomas,6,3,1,15,2020220,2,3,"2,020,220",7,3,2,4,213,5,15,0,3,3,2020060,5,12,1
Cameron Percy,6,1,2,12,2020160,3,3,"2,020,170",5,3,2,3,51,2,16,0,1,6,2020110,3,18,3
Branden Grace,6,1,3,2,2020220,2,3,"2,020,220",5,3,2,3,55,1,12,2,2,16,2020200,3,8,0
Scottie Scheffler,6,0,1,14,2020240,4,4,"2,020,200",8,3,2,6,42,3,21,1,1,6,2020010,6,12,2
Bryson DeChambeau,6,0,1,18,2020030,7,8,"2,020,030",9,4,2,4,57,2,20,1,4,2,2020040,4,13,0
Tae Hee Lee,6,2,1,13,2020060,3,5,"2,019,030",3,2,1,3,2,1,10,1,1,3,2020060,3,13,0
Doc Redman,6,0,4,7,2020170,2,3,"2,020,240",4,3,3,4,105,2,16,1,3,5,2020040,4,20,1
Will Gordon,5,5,1,18,2020210,2,2,"2,020,170",4,3,2,5,7,2,9,5,3,15,2020210,5,7,1
Michael Lorenzo-Vera,5,2,1,9,2020220,2,2,"2,020,090",4,2,1,3,35,1,6,1,1,3,2020090,3,10,4
Ian Poulter,5,5,2,11,2020395,6,10,"2,019,430",3,3,2,3,12,2,10,6,1,12,2020070,3,8,0
Ben Martin,5,0,2,10,2020190,2,2,"2,020,190",3,2,2,4,49,1,14,0,2,10,2020110,4,12,1
Mark Anderson,5,0,1,2,2020230,2,2,"2,020,210",5,3,2,3,7,3,18,3,3,3,2020150,3,13,9
Keegan Bradley,5,4,4,8,2020240,2,2,"2,020,240",6,4,2,4,3,1,13,0,3,11,2020180,4,12,0
Jordan Spieth,4,0,3,3,2020395,4,5,"2,020,190",5,2,3,3,23,1,13,1,1,9,2020395,3,13,0
Joel Dahmen,4,1,4,14,2020240,7,8,"2,020,150",3,8,2,4,14,5,15,0,4,12,2020170,5,17,0
Shawn Stefani,4,3,1,17,2020110,6,6,"2,020,020",6,3,1,3,49,1,18,4,1,18,2020110,3,13,0
Cameron Tringale,4,0,3,2,2020200,3,3,"2,020,190",6,3,3,4,14,1,12,1,4,2,2020050,4,9,2
Hudson Swafford,4,1,1,4,2020150,2,2,"2,020,180",5,2,1,5,27,1,15,2,2,9,2020180,5,9,3
Tiger Woods,4,0,1,8,2020170,3,4,"2,019,470",5,2,4,3,16,2,14,0,1,12,2020070,3,6,1
Stewart Cink,4,0,2,6,2020230,4,5,"2,020,170",4,3,3,3,24,2,24,0,2,11,2020110,3,10,1
Alex Cejka,4,0,1,17,2020190,4,4,"2,020,080",4,2,1,3,103,1,13,2,2,4,2020110,3,13,7
Jhonattan Vegas,4,1,4,3,2020060,3,4,"2,020,210",11,3,2,4,33,3,15,1,4,16,2020230,4,11,0
Ryan Brehm,4,1,4,9,2020170,4,4,"2,020,160",6,2,4,4,59,3,15,5,3,10,2020110,4,10,0
Brooks Koepka,4,1,4,6,2020240,2,3,"2,020,240",6,2,1,3,36,3,8,1,3,13,2020395,3,8,0
Abraham Ancer,4,0,4,9,2020240,10,11,"2,020,060",8,4,3,4,62,2,18,1,3,5,2020220,4,11,0
Viktor Hovland,4,0,4,15,2020010,2,3,"2,020,240",7,3,2,3,53,2,25,4,1,8,2020210,3,20,2
Richy Werenski,4,0,3,12,2020230,2,2,"2,020,230",3,4,2,4,101,1,14,1,3,14,2020010,4,11,1
Kurt Kitayama,4,0,3,1,2020230,4,4,"2,020,090",4,3,1,3,101,2,12,2,3,16,2020190,3,11,1
Mikumu Horikawa,3,1,1,3,2020070,3,4,"2,019,430",4,3,2,4,48,2,10,5,4,17,2020090,4,10,7
Patrick Cantlay,3,0,4,9,2020040,5,14,"2,019,320",7,4,2,3,41,3,27,1,4,14,2020030,3,14,1
Chase Koepka,3,1,2,2,2020060,2,3,"2,019,290",3,2,1,3,14,2,12,2,4,5,2020040,3,8,5
Robert MacIntyre,3,3,2,15,2020220,2,3,"2,019,420",3,2,1,2,11,1,6,1,4,15,2020220,2,5,3
J.B. Holmes,3,0,4,5,2020190,6,6,"2,020,060",5,3,2,3,40,3,12,3,2,7,2020170,3,7,3
Rory McIlroy,3,1,4,15,2020240,7,12,"2,019,430",6,3,3,4,138,2,13,2,3,6,2020170,4,11,2
Matthias Schwab,3,3,2,13,2020220,2,2,"2,020,090",9,3,2,3,4,1,15,1,4,2,2020090,3,8,0
Martin Laird,2,2,2,11,2020210,4,4,"2,020,170",8,3,3,3,4,3,24,0,2,12,2020210,3,14,0
Seamus Power,2,1,4,11,2020190,2,2,"2,020,190",6,3,4,3,7,3,20,10,1,14,2020110,3,9,0
Paul Casey,2,0,2,17,2020200,7,14,"2,019,360",9,4,1,3,7,3,17,1,1,9,2020190,3,10,0
Yosuke Asaji,2,2,2,7,2020090,2,3,"2,019,420",2,4,1,3,53,1,11,5,1,12,2020090,3,8,5
Zander Lombard,2,0,1,2,2020220,2,2,"2,020,090",4,2,2,3,8,1,10,0,3,14,2020220,3,10,2
Davis Riley,2,2,2,18,2020110,2,3,"2,019,310",4,2,1,3,13,1,14,3,1,7,2020110,3,12,3
Brandon Wu,2,0,3,6,2020170,4,4,"2,020,050",3,2,3,3,72,1,11,0,3,3,2020100,3,9,7
Benjamin Hebert,1,1,4,7,2020220,2,3,"2,019,420",5,2,2,3,1,2,7,4,2,17,2020220,3,9,4
Yi Keun Chang,1,0,4,2,2020090,2,3,"2,017,410",3,1,1,2,3,2,11,3,3,9,2020060,2,13,3
